id,lat,lon,name,amenity,alias
3070812233,45.302187,-122.762477,Abella Italian Kitchen,restaurant,food_drink
3091796526,45.5188734,-122.6920529,Kinara Thai,restaurant,food_drink
3151569161,45.493199,-122.622906,Shut Up and Eat,restaurant,food_drink
3157297361,45.4336331,-122.5715705,Ram Restaurant and Brewhouse,restaurant,food_drink
3166219462,45.5315548,-122.9574717,Sushi and Maki,restaurant,food_drink
3166274540,45.5310665,-122.9662612,Papa Murphy's,restaurant,food_drink
3199153866,45.4301166,-122.8321147,The Ridge,restaurant,food_drink
3233723861,45.558075,-122.620205,The Spare Room,restaurant,food_drink
3268288908,45.3963836,-122.2606593,Double Dragon,restaurant,food_drink
3268289454,45.3969806,-122.2612387,,restaurant,food_drink
3268289455,45.396329,-122.2579422,Stephanie's International Cafe,restaurant,food_drink
3282318440,45.5171128,-122.6810368,Heathman Restaurant,restaurant,food_drink
3284400736,45.5211577,-122.9850771,Sports Look,restaurant,food_drink
3289259474,45.5291783,-122.8700998,Saigon grill,restaurant,food_drink
3291831549,45.534698,-122.6986758,Pacific Pie,restaurant,food_drink
3342729709,45.4977211,-122.6133127,Thai BBQ,restaurant,food_drink
3353295295,45.518724,-122.563492,Elmer's,restaurant,food_drink
3353299095,45.518123,-122.560082,Baja Fresh,restaurant,food_drink
3387869693,45.5351789,-122.6474544,Cadillac Cafe,restaurant,food_drink
3396670342,45.6975665,-122.6534759,Fatty Patty's Restaurant,restaurant,food_drink
3409812506,45.5530533,-122.5780571,Pizza Hut,restaurant,food_drink
3410846893,45.4328171,-122.6116278,Bob's Red Mill,restaurant,food_drink
3430995993,45.446365,-122.776778,Panera Bread,restaurant,food_drink
3450060093,45.5926506,-122.7571544,Super Burrito Express,restaurant,food_drink
3475958525,45.4623215,-122.6472754,Arugularium,restaurant,food_drink
3477693241,45.4488396,-122.9478078,Cruise In Country Diner,restaurant,food_drink
3485329308,45.5162743,-122.6393351,Kala Noodle and Grill,restaurant,food_drink
3498112765,45.5242346,-122.6818109,Armory Cafe,restaurant,food_drink
3503568130,45.5047232,-122.6549614,Ford Food + Drink,restaurant,food_drink
3522237287,45.5192645,-122.5801677,The Observatory,restaurant,food_drink
3614229927,45.1461048,-122.8354218,"Gina""s",restaurant,food_drink
3615641615,45.5224671,-122.6371431,Cheese & Crack Snack Shop,restaurant,food_drink
3615641617,45.5226888,-122.6371471,Langbaan,restaurant,food_drink
3615675971,45.5230271,-122.6370036,Pizzicato,restaurant,food_drink
3615675972,45.5231231,-122.6371438,Navarre,restaurant,food_drink
3615675975,45.5233656,-122.6371411,Tapalaya,restaurant,food_drink
3615675977,45.5235211,-122.6371418,La Buca,restaurant,food_drink
3651635830,45.5842769,-122.7285272,Drunken Noodle,restaurant,food_drink
3660438860,45.1505383,-122.5750157,Figaro's Pizza,restaurant,food_drink
3660443684,45.1490954,-122.5754751,Cindy's Cafe & Catering,restaurant,food_drink
3660444247,45.1477557,-122.5765392,Passadore's Pizzeria,restaurant,food_drink
3660444248,45.1478314,-122.5771883,Jade Asian Bistro,restaurant,food_drink
